date,fx
2012-12-15,0.64719
2012-12-17,0.65027
2012-12-18,0.64683
2012-12-19,0.65168
2012-12-20,0.64754
2012-12-21,0.64786
2012-12-24,0.64998
2012-12-25,0.65008
2012-12-26,0.64800
2012-12-27,0.65050
2012-12-28,0.64684
2012-12-29,0.64684
2012-12-31,0.64995
2013-01-01,0.64929
2013-01-02,0.65376
2013-01-03,0.65280
2013-01-04,0.64871
2013-01-05,0.64874
2013-01-07,0.65150
2013-01-08,0.65683
2013-01-09,0.65233
2013-01-10,0.64558
2013-01-11,0.64915
2013-01-12,0.64947
2013-01-14,0.65037
2013-01-15,0.65202
2013-01-16,0.65085
2013-01-17,0.64936
2013-01-18,0.65175
2013-01-19,0.65175
2013-01-20,0.65155
2013-01-21,0.65060
2013-01-22,0.65181
2013-01-23,0.65189
2013-01-24,0.64827
2013-01-25,0.65026
2013-01-26,0.65032
2013-01-28,0.65037
2013-01-29,0.64818
2013-01-30,0.64971
2013-01-31,0.64767
2013-02-01,0.64873
2013-02-03,0.64859
2013-02-04,0.64970
2013-02-05,0.64887
2013-02-06,0.65053
2013-02-07,0.65994
2013-02-08,0.65298
2013-02-09,0.65298
2013-02-11,0.65145
2013-02-12,0.65309
2013-02-13,0.65560
2013-02-14,0.65063
2013-02-15,0.65385
2013-02-16,0.65370
2013-02-18,0.65494
2013-02-19,0.65265
2013-02-20,0.66007
2013-02-21,0.65539
2013-02-22,0.65815
2013-02-23,0.65805
2013-02-25,0.66987
2013-02-26,0.65934
2013-02-27,0.65981
2013-02-28,0.66352
2013-03-01,0.66021
2013-03-02,0.66021
2013-03-04,0.66206
2013-03-05,0.66300
2013-03-06,0.66590
2013-03-07,0.65842
2013-03-08,0.66964
2013-03-09,0.66959
2013-03-11,0.66115
2013-03-12,0.66529
2013-03-13,0.66834
2013-03-14,0.66099
2013-03-15,0.66664
2013-03-16,0.66664
2013-03-18,0.66344
2013-03-19,0.66966
2013-03-20,0.66448
2013-03-21,0.66752
2013-03-22,0.66369
2013-03-23,0.66359
2013-03-25,0.67185
2013-03-26,0.66369
2013-03-27,0.66614
2013-03-28,0.66802
2013-03-29,0.66799
2013-03-30,0.66765
2013-04-02,0.66606
2013-04-03,0.66482
2013-04-04,0.66035
2013-04-05,0.66850
2013-04-07,0.66855
2013-04-08,0.66654
2013-04-09,0.66282
2013-04-10,0.66659
2013-04-11,0.66529
2013-04-12,0.66097
2013-04-13,0.66107
2013-04-14,0.66097
2013-04-15,0.66596
2013-04-16,0.65962
2013-04-17,0.66849
2013-04-18,0.66749
2013-04-19,0.66643
2013-04-21,0.66646
2013-04-22,0.66269
2013-04-23,0.66491
2013-04-24,0.66635
2013-04-25,0.66904
2013-04-26,0.66245
2013-04-27,0.66245
2013-04-28,0.66245
2013-04-29,0.66402
2013-04-30,0.65809
2013-05-01,0.66393
2013-05-02,0.66539
2013-05-03,0.66071
2013-05-04,0.66059
2013-05-06,0.66309
2013-05-07,0.66575
2013-05-08,0.66100
2013-05-09,0.66828
2013-05-10,0.66162
2013-05-11,0.66202
2013-05-13,0.66710
2013-05-14,0.66894
2013-05-15,0.66694
2013-05-16,0.66988
2013-05-17,0.67181
2013-05-18,0.67178
2013-05-19,0.67178
2013-05-20,0.66913
2013-05-21,0.66864
2013-05-22,0.67506
2013-05-23,0.66785
2013-05-24,0.67182
2013-05-25,0.67182
2013-05-27,0.66929
2013-05-28,0.67255
2013-05-29,0.66919
2013-05-30,0.66623
2013-05-31,0.66790
2013-06-02,0.66774
2013-06-03,0.66417
2013-06-04,0.66665
2013-06-05,0.66325
2013-06-06,0.65795
2013-06-07,0.66455
2013-06-08,0.66430
2013-06-09,0.66430
2013-06-10,0.65604
2013-06-11,0.65846
2013-06-12,0.65582
2013-06-13,0.65552
2013-06-14,0.65403
2013-06-15,0.65385
2013-06-16,0.65385
2013-06-17,0.65487
2013-06-18,0.65446
2013-06-19,0.66011
2013-06-20,0.65358
2013-06-21,0.66529
2013-06-22,0.66524
2013-06-23,0.66524
2013-06-24,0.65942
2013-06-25,0.66541
2013-06-26,0.66242
2013-06-27,0.66345
2013-06-28,0.66792
2013-06-29,0.66795
2013-06-30,0.66795
2013-07-01,0.66376
2013-07-02,0.66807
2013-07-03,0.66348
2013-07-04,0.67184
2013-07-05,0.66997
2013-07-06,0.66976
2013-07-07,0.66976
2013-07-08,0.66627
2013-07-09,0.67569
2013-07-10,0.66303
2013-07-11,0.66993
2013-07-12,0.66455
2013-07-13,0.66465
2013-07-14,0.66465
2013-07-15,0.66420
2013-07-16,0.66491
2013-07-17,0.66596
2013-07-18,0.66319
2013-07-19,0.66348
2013-07-20,0.66322
2013-07-22,0.66445
2013-07-23,0.66026
2013-07-24,0.66467
2013-07-25,0.65770
2013-07-26,0.66212
2013-07-27,0.66217
2013-07-28,0.66217
2013-07-29,0.66120
2013-07-30,0.65970
2013-07-31,0.65772
2013-08-01,0.66236
2013-08-02,0.65816
2013-08-03,0.65816
2013-08-04,0.65803
2013-08-05,0.66396
2013-08-06,0.65853
2013-08-07,0.65803
2013-08-08,0.65750
2013-08-09,0.65822
2013-08-12,0.65633
2013-08-13,0.65987
2013-08-14,0.65865
2013-08-15,0.65670
2013-08-16,0.65896
2013-08-17,0.65913
2013-08-18,0.65896
2013-08-19,0.65830
2013-08-20,0.65529
2013-08-21,0.65770
2013-08-22,0.65398
2013-08-23,0.65732
2013-08-24,0.65732
2013-08-25,0.65723
2013-08-26,0.65760
2013-08-27,0.65524
2013-08-28,0.65819
2013-08-29,0.65861
2013-08-30,0.66046
2013-08-31,0.66046
2013-09-02,0.66116
2013-09-03,0.66030
2013-09-04,0.66017
2013-09-05,0.66593
2013-09-06,0.65723
2013-09-07,0.65713
2013-09-08,0.65713
2013-09-09,0.65984
2013-09-10,0.65959
2013-09-11,0.65714
2013-09-12,0.65925
2013-09-13,0.65764
2013-09-14,0.65742
2013-09-15,0.65742
2013-09-16,0.65856
2013-09-17,0.65638
2013-09-18,0.64827
2013-09-19,0.65694
2013-09-20,0.65241
2013-09-21,0.65254
2013-09-22,0.65254
2013-09-23,0.65361
2013-09-24,0.65327
2013-09-25,0.65281
2013-09-26,0.65347
2013-09-27,0.65183
2013-09-29,0.65183
2013-09-30,0.65132
2013-10-01,0.65277
2013-10-02,0.64766
2013-10-03,0.65003
2013-10-04,0.65150
2013-10-05,0.65150
2013-10-06,0.65150
2013-10-07,0.65033
2013-10-08,0.65028
2013-10-09,0.65023
2013-10-10,0.65239
2013-10-11,0.65372
2013-10-12,0.65367
2013-10-14,0.65162
2013-10-15,0.65006
2013-10-16,0.65413
2013-10-17,0.64965
2013-10-18,0.65071
2013-10-19,0.65071
2013-10-20,0.65088
2013-10-21,0.64800
2013-10-22,0.64376
2013-10-23,0.64753
2013-10-24,0.64749
2013-10-25,0.64585
2013-10-26,0.64594
2013-10-27,0.64585
2013-10-28,0.64667
2013-10-29,0.64684
2013-10-30,0.64908
2013-10-31,0.65051
2013-11-01,0.65139
2013-11-02,0.65139
2013-11-04,0.65261
2013-11-05,0.65402
2013-11-06,0.65241
2013-11-07,0.65674
2013-11-08,0.65510
2013-11-10,0.65518
2013-11-11,0.65345
2013-11-12,0.65277
2013-11-13,0.65265
2013-11-14,0.65424
2013-11-15,0.65247
2013-11-17,0.65255
2013-11-18,0.65448
2013-11-21,0.65256
2013-11-23,0.65214
2013-11-25,0.65325
2013-11-26,0.65325
2013-11-28,0.65120
2013-11-29,0.65129
2013-11-30,0.65217
2013-12-01,0.65217
2013-12-02,0.65111
2013-12-03,0.65270
2013-12-04,0.65193
2013-12-05,0.65175
2013-12-06,0.65148
2013-12-07,0.64996
2013-12-08,0.65003
2013-12-09,0.65009
2013-12-10,0.64958
2013-12-11,0.64882
2013-12-12,0.64869
2013-12-13,0.64795
2013-12-14,0.64714
2013-12-15,0.64714
2013-12-16,0.65013
2013-12-17,0.65155
2013-12-18,0.64938
2013-12-19,0.64908
2013-12-20,0.65050
2013-12-21,0.64965
2013-12-22,0.64965
2013-12-23,0.65144
2013-12-24,0.65070
2013-12-26,0.65010
2013-12-27,0.65062
2013-12-28,0.65624
2013-12-29,0.65624
2013-12-30,0.64686
2013-12-31,0.64917
2014-01-01,0.65030
2014-01-02,0.65035
2014-01-03,0.65025
2014-01-04,0.65293
2014-01-05,0.65293
2014-01-06,0.65123
2014-01-07,0.65336
2014-01-08,0.65152
2014-01-09,0.65238
2014-01-10,0.65222
2014-01-11,0.64867
2014-01-12,0.64867
2014-01-13,0.65239
2014-01-14,0.65010
2014-01-15,0.65027
2014-01-16,0.65187
2014-01-17,0.65238
2014-01-18,0.65512
2014-01-19,0.65512
2014-01-20,0.65194
2014-01-21,0.65197
2014-01-22,0.65361
2014-01-23,0.65217
2014-01-24,0.65061
2014-01-25,0.65275
2014-01-26,0.65275
2014-01-27,0.64813
2014-01-28,0.64960
2014-01-29,0.65119
2014-01-30,0.64936
2014-01-31,0.65403
2014-02-01,0.65384
2014-02-02,0.65386
2014-02-03,0.65187
2014-02-04,0.65308
2014-02-05,0.65143
2014-02-06,0.65265
2014-02-07,0.65268
2014-02-08,0.64958
2014-02-09,0.64958
2014-02-10,0.65183
2014-02-11,0.65140
2014-02-12,0.64956
2014-02-13,0.65023
2014-02-14,0.64869
2014-02-15,0.64958
2014-02-16,0.64958
2014-02-17,0.64790
2014-02-18,0.64751
2014-02-19,0.64769
2014-02-20,0.64675
2014-02-21,0.64814
2014-02-22,0.64658
2014-02-23,0.64658
2014-02-24,0.64820
2014-02-25,0.64747
2014-02-26,0.64733
2014-02-27,0.64741
2014-02-28,0.64861
2014-03-01,0.64843
2014-03-02,0.64843
2014-03-03,0.64631
2014-03-04,0.64638
2014-03-05,0.64654
2014-03-06,0.64707
2014-03-07,0.64722
2014-03-08,0.64834
2014-03-09,0.64834
2014-03-10,0.64428
2014-03-11,0.64550
2014-03-12,0.64617
2014-03-13,0.64572
2014-03-14,0.64355
2014-03-15,0.64226
2014-03-16,0.64226
2014-03-17,0.64476
2014-03-18,0.64515
2014-03-19,0.64403
2014-03-20,0.64399
2014-03-21,0.64762
2014-03-22,0.64749
2014-03-23,0.64749
2014-03-24,0.64717
2014-03-25,0.64709
2014-03-26,0.64710
2014-03-27,0.64737
2014-03-28,0.64728
2014-03-29,0.64633
2014-03-31,0.64773
2014-04-01,0.64681
2014-04-02,0.64719
2014-04-03,0.64765
2014-04-04,0.64802
2014-04-05,0.64796
2014-04-06,0.64796
2014-04-07,0.64907
2014-04-08,0.64857
2014-04-09,0.64693
2014-04-10,0.64584
2014-04-11,0.64431
2014-04-12,0.64458
2014-04-13,0.64458
2014-04-14,0.64404
2014-04-15,0.64511
2014-04-16,0.64593
2014-04-17,0.64511
2014-04-18,0.64676
2014-04-19,0.64691
2014-04-20,0.64691
2014-04-21,0.64653
2014-04-22,0.64609
2014-04-23,0.64552
2014-04-24,0.64478
2014-04-25,0.64575
2014-04-28,0.64485
2014-04-29,0.64444
2014-04-30,0.64488
2014-05-01,0.64225
2014-05-02,0.64406
2014-05-05,0.64410
2014-05-06,0.64386
2014-05-07,0.64247
2014-05-08,0.64237
2014-05-09,0.64241
2014-05-12,0.64521
2014-05-13,0.64623
2014-05-14,0.64706
2014-05-15,0.64740
2014-05-16,0.64825
2014-05-17,0.64819
2014-05-19,0.64719
2014-05-20,0.64729
2014-05-21,0.64749
2014-05-22,0.64670
2014-05-23,0.64659
2014-05-26,0.64868
2014-05-27,0.64872
2014-05-28,0.64812
2014-05-29,0.64901
2014-05-30,0.64912
2014-06-02,0.64908
2014-06-03,0.64913
2014-06-04,0.64911
